Time,Target_Speed,Actual_Speed,Throttle,Engine_RPM,Engine_Torque,Fuel_Mode
0,0,0,0,800,18,ECO
1,0,0,0,800,18,ECO
2,10,8,12,1350,28,ECO
3,20,18,18,1650,35,ECO
4,30,29,24,1950,42,ECO
5,40,39,28,2150,48,ECO
6,50,49,32,2350,54,ECO
7,60,59,36,2550,60,ECO
8,70,68,38,2750,66,ECO
9,80,78,40,2950,72,ECO
10,90,88,42,3150,78,ECO
11,100,98,44,3350,84,ECO
12,100,100,30,2800,56,ECO
13,100,100,24,2500,46,ECO
14,90,91,18,2200,38,ECO
15,80,82,15,2000,32,ECO
16,70,72,12,1800,28,ECO
17,60,62,10,1650,25,ECO
18,50,51,8,1500,23,ECO
19,40,41,7,1350,21,ECO
20,30,31,6,1200,19,ECO
21,20,20,5,1050,18,ECO
22,10,10,3,900,17,ECO
23,0,2,0,800,16,ECO
24,0,0,0,800,16,ECO
25,20,18,22,1750,46,ECO
26,40,38,35,2400,68,ECO
27,60,58,48,3100,88,ECO
28,80,78,55,3600,96,ECO
29,100,98,58,4050,105,ECO
30,120,118,60,4300,112,ECO
31,120,120,45,3650,82,ECO
32,100,102,30,2800,56,ECO
33,80,82,20,2250,40,ECO
34,60,62,12,1700,28,ECO
35,40,42,8,1400,22,ECO
36,20,22,5,1050,18,ECO
37,0,5,0,800,16,ECO
38,0,0,0,800,16,ECO
39,0,0,0,800,16,ECO

